"track_name","artist_id","duration","release_date","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre__TIKTOK","genre_TIKTOK DANCE","genre_TIKTOK OPM","genre_TIKTOK PHILIPPINES"
"Iko Iko (My Bestie)","5lTjv8Ag00qHSGhvK4JbeF",182857,"2019-06-03",0.81,0.862,0.753,5,0.769962453066333,1,0.0625,0.132180512507953,2.01e-06,0.077,0.827,0.314814814814815,0,1,0,0
"Copines","7IlRNXHjoOCgEAWN5qYksg",171720,"2018-11-02",0.8,0.701,0.787,8,0.820561416055784,0,0.0855,0.272444359904923,0,0.105,0.904,0.777777777777778,0,1,0,0
"Run It! (feat. Juelz Santana)","7bXgB6jMjp9ATFy66eO08Z",229866,"2005-01-01",0.72,0.846,0.482,1,0.721151439299124,0,0.129,0.024813078241495,0,0.393,0.212,0.290123456790123,0,1,0,0
"San Andreas Theme Song","58zzaIQ8XVObJml8da0b2e",86546,"2005-11-07",0.65,0.52,0.836,5,0.706526014661184,0,0.213,0.0165385203375011,0,0.19,0.486,0.265432098765432,0,1,0,0
"OUT out","22UgSS755ESXV2NfD1BkN5",214163,"2021-03-26",0.41,0.842,0.719,4,0.672733774360808,0,0.107,0.161444192900127,4.02e-06,0.122,0.8,0.469135802469136,0,1,0,0
"motive (with Doja Cat)","66CXWjxzNUsdJxJ2JdwvnR",167989,"2020-10-30",0.82,0.789,0.742,10,0.758948685857322,0,0.0652,0.0687085988297555,0,0.166,0.661,0.388888888888889,0,1,0,0
"Why","4GvEc3ANtPPjt1ZJllr5Zl",148259,"2018-04-12",0.72,0.676,0.67,8,0.726050420168067,1,0.0374,0.356199031372179,0,0.103,0.54,0.364197530864198,0,1,0,0
"Talkin' Bout (feat. Saweetie)","053fl1QPQFGqSPPxSPcacT",126225,"2021-04-16",0.71,0.885,0.466,1,0.742356517074915,1,0.282,0.03994946465124,0,0.127,0.272,0.12962962962963,0,1,0,0
"International Love (feat. Chris Brown)","0TnOYISbd1XYRBk9myaseg",227280,"2011-06-17",0.75,0.67,0.855,0,0.852959055962811,0,0.0499,0.0125021506282357,0,0.335,0.648,0.407407407407407,0,1,0,0
"She Make It Clap","6GMYJwaziB4ekv1Y6wCDWS",111621,"2021-03-12",0.61,0.938,0.463,1,0.492186661898802,1,0.479,0.0353076394855849,0.00652,0.1,0.46,0.407407407407407,0,1,0,0
"Somebody To Love Remix","1uNFoZAHBGtllmzznpCI3s",220160,"2011-01-01",0.59,0.703,0.836,5,0.796316824602181,1,0.0283,0.00390468314750055,0,0.16,0.552,0.469135802469136,0,1,0,0
"Peaches (feat. Daniel Caesar & Giveon)","1uNFoZAHBGtllmzznpCI3s",198081,"2021-03-19",0.99,0.677,0.696,0,0.740461290899338,1,0.119,0.323908073698056,0,0.42,0.464,0.222222222222222,0,1,0,0
"Aya","4d8dVaN19U8R3fpxswfpT5",179400,"2021-04-15",0.35,0.708,0.823,11,0.773359556588593,0,0.0508,0.0456003822442115,0.000256,0.133,0.169,0.283950617283951,0,1,0,0
"Big Gangsta","1gPhS1zisyXr5dHTYZyiMe",243462,"2019-05-31",0.79,0.879,0.574,10,0.761165742892902,0,0.391,0.52370837430669,8.76e-06,0.144,0.346,0.561728395061728,0,1,0,0
"Up","4kYSro6naA4h99UJvo89HB",156944,"2021-02-05",0.89,0.868,0.795,11,0.745360271768282,1,0.269,0.00120031544229278,0.0193,0.0461,0.819,0.691358024691358,0,1,0,0
"16 Shots","2ExGrw6XpbtUAJHTLtUXUD",224727,"2017-05-22",0.72,0.684,0.79,3,0.787305560522081,0,0.0735,0.0273358093097858,0.000371,0.0854,0.549,0.253086419753086,0,1,0,0
"Gimme More","26dSoYclwsYLMAKD3tpOr4",251240,"2007-10-25",0.83,0.788,0.844,2,0.849526193456106,1,0.0334,0.252262511358597,0.000678,0.0723,0.382,0.364197530864198,0,1,0,0
"Imma Be","1yxSLGMDHlW21z4YXirZDS",257560,"2009-01-01",0.68,0.597,0.517,0,0.712497765063472,1,0.365,0.180616949019137,0,0.307,0.412,0.234567901234568,0,1,0,0
"Alo Michael - rico rico rico rico","3SB8QuuxVULg4nFHoWJ5vj",186460,"2020-05-30",0.35,0.853,0.667,9,0.594743429286608,1,0.0823,0.267398897768342,0.000382,0.082,0.919,0.382716049382716,0,1,0,0
"You're Perfect","5sK8BsvyDl4TFA6KaBf8or",196973,"2017-10-20",0.69,0.817,0.855,7,0.844126586804935,0,0.244,0.320880796416107,0,0.0517,0.783,0.314814814814815,0,1,0,0
"Birthday","5MeLi8GYbrPCoYWQM1ZRyi",171040,"2021-05-01",0.35,0.688,0.862,1,0.679134632576435,1,0.257,0.038032189039339,0.000269,0.0746,0.417,0.148148148148148,0,1,0,0
"Intenso boom boom ( Acompanha o Grave )","1cNPXWhKfjI0fT5EMCnamR",120061,"2019-04-12",0.66,0.864,0.939,6,0.921365993205793,0,0.185,0.314826241852209,0.71,0.169,0.373,0.154320987654321,0,1,0,0
"20 Min","4O15NlyKLIASxsJ0PrXPfz",220586,"2017-11-17",0.82,0.773,0.75,8,0.818129805113535,0,0.117,0.109980479106994,0,0.174,0.783,0.425925925925926,0,1,0,0
"Razor Blade Flow","78GdFYPETzCgutsc5O5COH",151848,"2020-04-10",0.42,0.864,0.755,6,0.76935455033077,0,0.368,0.00264331761335514,4.79e-05,0.583,0.685,0.185185185185185,0,1,0,0
"No Lie","3Isy6kedDrgPYoTS1dazA9",221176,"2018-06-29",0.79,0.742,0.882,7,0.859145360271768,1,0.117,0.0470131116424543,0,0.206,0.463,0.296296296296296,0,1,0,0
